Nome da Embarcacao;Numero de Inscricao no RGP;Numero de Inscricao na Marinha do Brasil;AB;Comprimento;Propulsao;HP;Capacidade do Porao;Volume do Tanque;Tripulacao;Numero de Covos;Status;UF;Numero da Frota;Codigo IN;Petrecho;indice
mar/37;MA00198760;1210106531;12;11;Motor;60;;1000;7;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14381
mar/38;MA00197868;1210106639;12;10,8;Motor;60;;2000;7;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14382
mar/40;MA00127805;1210117096;12,4;10,8;Motor;60;;1500;3;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14383
mar/41;MA00272867;1210116227;12,9;10,8;Motor;75;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14384
mar/42;MA00237731;1210109247;12;10,8;Motor;60;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14385
mar/43;MA00197988;1210109255;13;10,8;Motor;73;;1500;7;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14386
mar/44;MA00323777;1210109263;13;10,8;Motor;45;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14387
mar/45;MA00272911;1210109271;13;10,8;Motor;114;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14388
mar/45;AL00020774;2410120938;6,3;9;Motor;36;;500;4;200;Deferida;AL;5.01.001;5.1;5. Armadilha;14389
mar/46;MA00197748;1210109191;13;10,8;Motor;73;;1500;3;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14390
mar/48;MA00197884;1210109212;13;10,8;Motor;73;;1500;3;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14391
mar/49;MA00129197;1210109221;13;10,8;Motor;60;;1500;3;;Deferida;MA;2.00.000;null;2. Rede de Emalhe;14392
mar/50;MA00197904;1210109280;13;10,8;Motor;72;;1500;7;;Deferida;MA;2.00.000;null;2. Rede de Emalhe;14393
mar/51;MA00129205;1210109298;13;10,8;Motor;60;;1500;7;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14394
mar/52;MA00248450;1210109476;;10,8;Motor;;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14395
mar/53;MA00227814;1210109484;1,27;10,8;Motor;60;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14396
mar/07;MA00198068;1210105713;12,8;10,8;Motor;73;;1500;6;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14397
MARA;SC00208734;441M2012000215;;4,6;Motor;3,3;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14398
MARA;MA00209934;1210126885;7;9,36;Motor;60;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;14399
MARA;RJ00156608;3850003302;0,6;5;Remo;;0,2;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;14400
MARA;PR00292445;421M2014005394;;6,78;Remo;;;;;;Deferida;PR;6.04.001;null;6. Diversificada;14401
MARA;SP00043506;4030250432;4;7,5;Motor;11;;;2;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;14402
MARA AZUL;PR00085566;4210264318;0,7;7,5;Motor;9;;;2;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;14403
MARABA;CE00020796;1610054750;6;9,4;Motor;;;;5;220;Deferida;CE;5.01.005;5.4;5. Armadilha;14404
MAR ABERTO;SP00330066;442M2019001665;;7,15;Motor;15;;;;;Deferida;SP;6.03.001;6.6;6. Diversificada;14405
MARACATU;RJ00221150;3868889868;2;6,29;Motor;13,5;;;1;;Deferida;RJ;6.03.001;6.6;6. Diversificada;14406
MARACI;SC00186177;442M2007003935;;5;Motor;5,5;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14407
MARA DA BARRA;CE00253105;163B2007000085;;6,25;Vela;;;;;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;14408
MARAGOGI;PA00002208;2210141796;18,4;14;Motor;118;;30000;4;;Deferida;PA;1.09.002;1.9;1. Linha;14409
